Precision,Recall
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525252, 0.030303030303030304, 0.03535353535353535, 0.04040404040404041, 0.045454545454545456, 0.050505050505050504, 0.05555555555555555]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525252, 0.030303030303030304, 0.03535353535353535, 0.04040404040404041, 0.045454545454545456, 0.050505050505050504, 0.05555555555555555]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525252, 0.030303030303030304, 0.03535353535353535, 0.04040404040404041, 0.045454545454545456, 0.050505050505050504, 0.05555555555555555]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.9, 0.8181818181818182]","[0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525252, 0.030303030303030304, 0.03535353535353535, 0.04040404040404041, 0.04040404040404041, 0.045454545454545456, 0.045454545454545456]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091]","[0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525252, 0.030303030303030304, 0.03535353535353535, 0.04040404040404041, 0.045454545454545456, 0.050505050505050504, 0.050505050505050504]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.006578947368421052, 0.013157894736842105, 0.019736842105263157, 0.02631578947368421, 0.03289473684210526, 0.039473684210526314, 0.046052631578947366, 0.046052631578947366, 0.05263157894736842, 0.05921052631578947, 0.06578947368421052]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.006578947368421052, 0.013157894736842105, 0.019736842105263157, 0.02631578947368421, 0.03289473684210526, 0.039473684210526314, 0.039473684210526314, 0.046052631578947366, 0.05263157894736842, 0.05921052631578947, 0.06578947368421052]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091]","[0.006578947368421052, 0.013157894736842105, 0.019736842105263157, 0.02631578947368421, 0.03289473684210526, 0.039473684210526314, 0.046052631578947366, 0.05263157894736842, 0.05921052631578947, 0.06578947368421052, 0.06578947368421052]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.006578947368421052, 0.013157894736842105, 0.019736842105263157, 0.02631578947368421, 0.03289473684210526, 0.039473684210526314, 0.046052631578947366, 0.046052631578947366, 0.05263157894736842, 0.05921052631578947, 0.06578947368421052]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.75, 0.7777777777777778, 0.7, 0.6363636363636364]","[0.006578947368421052, 0.013157894736842105, 0.019736842105263157, 0.02631578947368421, 0.03289473684210526, 0.039473684210526314, 0.039473684210526314, 0.039473684210526314, 0.046052631578947366, 0.046052631578947366, 0.046052631578947366]"
"[1.0, 1.0, 0.6666666666666666, 0.5, 0.4, 0.3333333333333333, 0.2857142857142857, 0.25, 0.2222222222222222, 0.2, 0.18181818181818182]","[0.004219409282700422, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.004219409282700422, 0.008438818565400843, 0.012658227848101266, 0.016877637130801686, 0.02109704641350211, 0.02531645569620253, 0.029535864978902954, 0.03375527426160337, 0.0379746835443038, 0.04219409282700422, 0.046413502109704644]"
"[1.0, 0.5, 0.3333333333333333, 0.25, 0.4, 0.3333333333333333, 0.2857142857142857, 0.25, 0.2222222222222222, 0.2, 0.18181818181818182]","[0.004219409282700422, 0.004219409282700422, 0.004219409282700422, 0.004219409282700422, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843]"
"[1.0, 1.0, 1.0, 0.75, 0.6, 0.5, 0.42857142857142855, 0.375, 0.3333333333333333, 0.3, 0.2727272727272727]","[0.004219409282700422, 0.008438818565400843, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.004219409282700422, 0.008438818565400843, 0.012658227848101266, 0.016877637130801686, 0.02109704641350211, 0.02109704641350211, 0.02531645569620253, 0.029535864978902954, 0.03375527426160337, 0.0379746835443038, 0.04219409282700422]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9090909090909091]","[0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222222, 0.1111111111111111, 0.125, 0.125, 0.1388888888888889]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.8181818181818182]","[0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222222, 0.1111111111111111, 0.125, 0.125, 0.125]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.08333333333333333, 0.09722222222222222, 0.1111111111111111, 0.125, 0.1388888888888889]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.08333333333333333, 0.09722222222222222, 0.1111111111111111, 0.125, 0.1388888888888889]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222222, 0.1111111111111111, 0.125, 0.1388888888888889, 0.1527777777777778]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.008403361344537815, 0.01680672268907563, 0.025210084033613446, 0.03361344537815126, 0.04201680672268908, 0.05042016806722689, 0.058823529411764705, 0.058823529411764705, 0.06722689075630252, 0.07563025210084033, 0.08403361344537816]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9090909090909091]","[0.008403361344537815, 0.01680672268907563, 0.025210084033613446, 0.03361344537815126, 0.04201680672268908, 0.05042016806722689, 0.058823529411764705, 0.06722689075630252, 0.07563025210084033, 0.07563025210084033, 0.08403361344537816]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008403361344537815, 0.01680672268907563, 0.025210084033613446, 0.03361344537815126, 0.04201680672268908, 0.05042016806722689, 0.058823529411764705, 0.06722689075630252, 0.07563025210084033, 0.08403361344537816, 0.09243697478991597]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008403361344537815, 0.01680672268907563, 0.025210084033613446, 0.03361344537815126, 0.04201680672268908, 0.05042016806722689, 0.058823529411764705, 0.06722689075630252, 0.07563025210084033, 0.08403361344537816, 0.09243697478991597]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8888888888888888, 0.8, 0.7272727272727273]","[0.008403361344537815, 0.01680672268907563, 0.025210084033613446, 0.03361344537815126, 0.04201680672268908, 0.05042016806722689, 0.058823529411764705, 0.058823529411764705, 0.06722689075630252, 0.06722689075630252, 0.06722689075630252]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.007936507936507936, 0.015873015873015872, 0.023809523809523808, 0.031746031746031744, 0.03968253968253968, 0.047619047619047616, 0.05555555555555555, 0.06349206349206349, 0.06349206349206349, 0.07142857142857142, 0.07936507936507936]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.007936507936507936, 0.015873015873015872, 0.023809523809523808, 0.031746031746031744, 0.03968253968253968, 0.047619047619047616, 0.05555555555555555, 0.06349206349206349, 0.07142857142857142, 0.07936507936507936, 0.0873015873015873]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.007936507936507936, 0.015873015873015872, 0.023809523809523808, 0.031746031746031744, 0.03968253968253968, 0.047619047619047616, 0.05555555555555555, 0.06349206349206349, 0.07142857142857142, 0.07936507936507936, 0.0873015873015873]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.007936507936507936, 0.015873015873015872, 0.023809523809523808, 0.031746031746031744, 0.03968253968253968, 0.03968253968253968, 0.047619047619047616, 0.05555555555555555, 0.06349206349206349, 0.07142857142857142, 0.07936507936507936]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.007936507936507936, 0.015873015873015872, 0.023809523809523808, 0.031746031746031744, 0.03968253968253968, 0.047619047619047616, 0.05555555555555555, 0.06349206349206349, 0.07142857142857142, 0.07936507936507936, 0.0873015873015873]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0196078431372549, 0.0392156862745098, 0.058823529411764705, 0.0784313725490196, 0.09803921568627451, 0.11764705882352941, 0.13725490196078433, 0.1568627450980392, 0.17647058823529413, 0.19607843137254902, 0.21568627450980393]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091]","[0.0196078431372549, 0.0392156862745098, 0.058823529411764705, 0.0784313725490196, 0.09803921568627451, 0.11764705882352941, 0.13725490196078433, 0.1568627450980392, 0.17647058823529413, 0.19607843137254902, 0.19607843137254902]"
"[1.0, 1.0, 1.0, 1.0, 0.8, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.0196078431372549, 0.0392156862745098, 0.058823529411764705, 0.0784313725490196, 0.0784313725490196, 0.09803921568627451, 0.11764705882352941, 0.13725490196078433, 0.1568627450980392, 0.17647058823529413, 0.19607843137254902]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0196078431372549, 0.0392156862745098, 0.058823529411764705, 0.0784313725490196, 0.09803921568627451, 0.11764705882352941, 0.13725490196078433, 0.1568627450980392, 0.17647058823529413, 0.19607843137254902, 0.21568627450980393]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091]","[0.0196078431372549, 0.0392156862745098, 0.058823529411764705, 0.0784313725490196, 0.09803921568627451, 0.11764705882352941, 0.13725490196078433, 0.1568627450980392, 0.17647058823529413, 0.19607843137254902, 0.19607843137254902]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.006711409395973154, 0.013422818791946308, 0.020134228187919462, 0.026845637583892617, 0.03355704697986577, 0.040268456375838924, 0.04697986577181208, 0.053691275167785234, 0.06040268456375839, 0.06711409395973154, 0.0738255033557047]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.006711409395973154, 0.013422818791946308, 0.020134228187919462, 0.026845637583892617, 0.03355704697986577, 0.040268456375838924, 0.04697986577181208, 0.053691275167785234, 0.06040268456375839, 0.06711409395973154, 0.0738255033557047]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.006711409395973154, 0.013422818791946308, 0.020134228187919462, 0.026845637583892617, 0.03355704697986577, 0.040268456375838924, 0.04697986577181208, 0.053691275167785234, 0.06040268456375839, 0.06711409395973154, 0.0738255033557047]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.006711409395973154, 0.013422818791946308, 0.020134228187919462, 0.026845637583892617, 0.03355704697986577, 0.040268456375838924, 0.04697986577181208, 0.053691275167785234, 0.06040268456375839, 0.06711409395973154, 0.0738255033557047]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091]","[0.006711409395973154, 0.013422818791946308, 0.020134228187919462, 0.026845637583892617, 0.03355704697986577, 0.040268456375838924, 0.04697986577181208, 0.053691275167785234, 0.06040268456375839, 0.06711409395973154, 0.06711409395973154]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0035587188612099642, 0.0071174377224199285, 0.010676156583629894, 0.014234875444839857, 0.017793594306049824, 0.021352313167259787, 0.02491103202846975, 0.028469750889679714, 0.03202846975088968, 0.03558718861209965, 0.03914590747330961]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0035587188612099642, 0.0071174377224199285, 0.010676156583629894, 0.014234875444839857, 0.017793594306049824, 0.021352313167259787, 0.02491103202846975, 0.028469750889679714, 0.03202846975088968, 0.03558718861209965, 0.03914590747330961]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0035587188612099642, 0.0071174377224199285, 0.010676156583629894, 0.014234875444839857, 0.017793594306049824, 0.021352313167259787, 0.02491103202846975, 0.028469750889679714, 0.03202846975088968, 0.03558718861209965, 0.03914590747330961]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0035587188612099642, 0.0071174377224199285, 0.010676156583629894, 0.014234875444839857, 0.017793594306049824, 0.021352313167259787, 0.02491103202846975, 0.028469750889679714, 0.03202846975088968, 0.03558718861209965, 0.03914590747330961]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0035587188612099642, 0.0071174377224199285, 0.010676156583629894, 0.014234875444839857, 0.017793594306049824, 0.021352313167259787, 0.02491103202846975, 0.028469750889679714, 0.03202846975088968, 0.03558718861209965, 0.03914590747330961]"
